,100_episode_avg,episode_score
episode_452,0.01600000023841858,
episode 452,,0.0
episode_453,0.01600000023841858,
episode 453,,0.0
episode_454,0.01600000023841858,
episode 454,,0.0
episode_455,0.015000000223517418,
episode 455,,0.0
episode_456,0.015000000223517418,
episode 456,,0.0
episode_457,0.015000000223517418,
episode 457,,0.0
episode_458,0.015000000223517418,
episode 458,,0.0
episode_459,0.015000000223517418,
episode 459,,0.0
episode_460,0.015000000223517418,
episode 460,,0.0
episode_461,0.01600000023841858,
episode 461,,0.10000000149011612
episode_462,0.01600000023841858,
episode 462,,0.0
episode_463,0.01600000023841858,
episode 463,,0.0
episode_464,0.01600000023841858,
episode 464,,0.0
episode_465,0.01600000023841858,
episode 465,,0.0
episode_466,0.01600000023841858,
episode 466,,0.0
episode_467,0.01600000023841858,
episode 467,,0.0
episode_468,0.01600000023841858,
episode 468,,0.0
episode_469,0.01600000023841858,
episode 469,,0.0
episode_470,0.01600000023841858,
episode 470,,0.0
episode_471,0.01600000023841858,
episode 471,,0.0
episode_472,0.01600000023841858,
episode 472,,0.0
episode_473,0.01600000023841858,
episode 473,,0.0
episode_474,0.01600000023841858,
episode 474,,0.0
episode_475,0.01600000023841858,
episode 475,,0.0
episode_476,0.01600000023841858,
episode 476,,0.0
episode_477,0.01600000023841858,
episode 477,,0.0
episode_478,0.01600000023841858,
episode 478,,0.0
episode_479,0.01700000025331974,
episode 479,,0.10000000149011612
episode_480,0.01700000025331974,
episode 480,,0.0
episode_481,0.01600000023841858,
episode 481,,0.0
episode_482,0.01600000023841858,
episode 482,,0.10000000149011612
episode_483,0.01600000023841858,
episode 483,,0.0
episode_484,0.01700000025331974,
episode 484,,0.10000000149011612
episode_485,0.018000000268220902,
episode 485,,0.10000000149011612
episode_486,0.01700000025331974,
episode 486,,0.0
episode_487,0.01700000025331974,
episode 487,,0.0
episode_488,0.01700000025331974,
episode 488,,0.0
episode_489,0.01700000025331974,
episode 489,,0.0
episode_490,0.01700000025331974,
episode 490,,0.0
episode_491,0.01700000025331974,
episode 491,,0.0
episode_492,0.01700000025331974,
episode 492,,0.0
episode_493,0.01700000025331974,
episode 493,,0.0
episode_494,0.01600000023841858,
episode 494,,0.0
episode_495,0.01600000023841858,
episode 495,,0.0
episode_496,0.01600000023841858,
episode 496,,0.0
episode_497,0.01700000025331974,
episode 497,,0.10000000149011612
episode_498,0.01700000025331974,
episode 498,,0.0
episode_499,0.01700000025331974,
episode 499,,0.0
episode_500,0.01700000025331974,
episode 500,,0.0
episode_501,0.01700000025331974,
episode 501,,0.0
episode_502,0.01600000023841858,
episode 502,,0.0
episode_503,0.01700000025331974,
episode 503,,0.10000000149011612
episode_504,0.01700000025331974,
episode 504,,0.0
episode_505,0.01700000025331974,
episode 505,,0.0
episode_506,0.01700000025331974,
episode 506,,0.10000000149011612
episode_507,0.01600000023841858,
episode 507,,0.0
episode_508,0.01600000023841858,
episode 508,,0.10000000149011612
episode_509,0.01600000023841858,
episode 509,,0.0
episode_510,0.01600000023841858,
episode 510,,0.0
episode_511,0.01600000023841858,
episode 511,,0.0
episode_512,0.01600000023841858,
episode 512,,0.0
episode_513,0.01600000023841858,
episode 513,,0.0
episode_514,0.015000000223517418,
episode 514,,0.0
episode_515,0.015000000223517418,
episode 515,,0.0
episode_516,0.015000000223517418,
episode 516,,0.0
episode_517,0.015000000223517418,
episode 517,,0.0
episode_518,0.01600000023841858,
episode 518,,0.10000000149011612
episode_519,0.01600000023841858,
episode 519,,0.0
episode_520,0.015000000223517418,
episode 520,,0.0
episode_521,0.015000000223517418,
episode 521,,0.0
episode_522,0.014000000208616257,
episode 522,,0.0
episode_523,0.014000000208616257,
episode 523,,0.0
episode_524,0.015000000223517418,
episode 524,,0.10000000149011612
episode_525,0.015000000223517418,
episode 525,,0.0
episode_526,0.015000000223517418,
episode 526,,0.0
episode_527,0.014000000208616257,
episode 527,,0.0
episode_528,0.014000000208616257,
episode 528,,0.0
episode_529,0.014000000208616257,
episode 529,,0.0
episode_530,0.015000000223517418,
episode 530,,0.10000000149011612
episode_531,0.015000000223517418,
episode 531,,0.0
episode_532,0.014000000208616257,
episode 532,,0.0
episode_533,0.014000000208616257,
episode 533,,0.0
episode_534,0.014000000208616257,
episode 534,,0.0
episode_535,0.014000000208616257,
episode 535,,0.0
episode_536,0.013000000193715095,
episode 536,,0.0
episode_537,0.013000000193715095,
episode 537,,0.0
episode_538,0.013000000193715095,
episode 538,,0.0
episode_539,0.012000000178813934,
episode 539,,0.0
episode_540,0.012000000178813934,
episode 540,,0.0
episode_541,0.012000000178813934,
episode 541,,0.0
episode_542,0.012000000178813934,
episode 542,,0.0
episode_543,0.012000000178813934,
episode 543,,0.0
episode_544,0.012000000178813934,
episode 544,,0.0
episode_545,0.012000000178813934,
episode 545,,0.0
episode_546,0.012000000178813934,
episode 546,,0.0
episode_547,0.012000000178813934,
episode 547,,0.0
episode_548,0.012000000178813934,
episode 548,,0.0
episode_549,0.012000000178813934,
episode 549,,0.0
episode_550,0.012000000178813934,
episode 550,,0.0
episode_551,0.012000000178813934,
episode 551,,0.0
episode_552,0.012000000178813934,
episode 552,,0.0
episode_553,0.012000000178813934,
episode 553,,0.0
episode_554,0.013000000193715095,
episode 554,,0.10000000149011612
episode_555,0.013000000193715095,
episode 555,,0.0
episode_556,0.013000000193715095,
episode 556,,0.0
episode_557,0.013000000193715095,
episode 557,,0.0
episode_558,0.013000000193715095,
episode 558,,0.0
episode_559,0.013000000193715095,
episode 559,,0.0
episode_560,0.013000000193715095,
episode 560,,0.0
episode_561,0.012000000178813934,
episode 561,,0.0
episode_562,0.012000000178813934,
episode 562,,0.0
episode_563,0.012000000178813934,
episode 563,,0.0
episode_564,0.013000000193715095,
episode 564,,0.10000000149011612
episode_565,0.013000000193715095,
episode 565,,0.0
episode_566,0.013000000193715095,
episode 566,,0.0
episode_567,0.013000000193715095,
episode 567,,0.0
episode_568,0.013000000193715095,
episode 568,,0.0
episode_569,0.013000000193715095,
episode 569,,0.0
episode_570,0.013000000193715095,
episode 570,,0.0
episode_571,0.013000000193715095,
episode 571,,0.0
episode_572,0.014000000208616257,
episode 572,,0.10000000149011612
episode_573,0.014000000208616257,
episode 573,,0.0
episode_574,0.014000000208616257,
episode 574,,0.0
episode_575,0.014000000208616257,
episode 575,,0.0
episode_576,0.014000000208616257,
episode 576,,0.0
episode_577,0.014000000208616257,
episode 577,,0.0
episode_578,0.014000000208616257,
episode 578,,0.0
episode_579,0.013000000193715095,
episode 579,,0.0
episode_580,0.013000000193715095,
episode 580,,0.0
episode_581,0.013000000193715095,
episode 581,,0.0
episode_582,0.012000000178813934,
episode 582,,0.0
episode_583,0.013000000193715095,
episode 583,,0.10000000149011612
episode_584,0.012000000178813934,
episode 584,,0.0
episode_585,0.011000000163912773,
episode 585,,0.0
episode_586,0.012000000178813934,
episode 586,,0.10000000149011612
episode_587,0.012000000178813934,
episode 587,,0.0
episode_588,0.013000000193715095,
episode 588,,0.10000000149011612
episode_589,0.013000000193715095,
episode 589,,0.0
episode_590,0.013000000193715095,
episode 590,,0.0
episode_591,0.013000000193715095,
episode 591,,0.0
episode_592,0.013000000193715095,
episode 592,,0.0
episode_593,0.013000000193715095,
episode 593,,0.0
episode_594,0.013000000193715095,
episode 594,,0.0
episode_595,0.013000000193715095,
episode 595,,0.0
episode_596,0.013000000193715095,
episode 596,,0.0
episode_597,0.012000000178813934,
episode 597,,0.0
episode_598,0.012000000178813934,
episode 598,,0.0
episode_599,0.012000000178813934,
episode 599,,0.0
episode_600,0.012000000178813934,
episode 600,,0.0
episode_601,0.012000000178813934,
episode 601,,0.0
episode_602,0.012000000178813934,
episode 602,,0.0
episode_603,0.011000000163912773,
episode 603,,0.0
episode_604,0.011000000163912773,
episode 604,,0.0
episode_605,0.011000000163912773,
episode 605,,0.0
episode_606,0.010000000149011612,
episode 606,,0.0
episode_607,0.010000000149011612,
episode 607,,0.0
episode_608,0.009000000134110451,
episode 608,,0.0
episode_609,0.009000000134110451,
episode 609,,0.0
episode_610,0.009000000134110451,
episode 610,,0.0
episode_611,0.009000000134110451,
episode 611,,0.0
episode_612,0.009000000134110451,
episode 612,,0.0
episode_613,0.009000000134110451,
episode 613,,0.0
episode_614,0.009000000134110451,
episode 614,,0.0
episode_615,0.009000000134110451,
episode 615,,0.0
episode_616,0.009000000134110451,
episode 616,,0.0
episode_617,0.009000000134110451,
episode 617,,0.0
episode_618,0.00800000011920929,
episode 618,,0.0
episode_619,0.00800000011920929,
episode 619,,0.0
episode_620,0.00800000011920929,
episode 620,,0.0
episode_621,0.00800000011920929,
episode 621,,0.0
episode_622,0.00800000011920929,
episode 622,,0.0
episode_623,0.00800000011920929,
episode 623,,0.0
episode_624,0.007000000104308128,
episode 624,,0.0
episode_625,0.007000000104308128,
episode 625,,0.0
episode_626,0.007000000104308128,
episode 626,,0.0
episode_627,0.007000000104308128,
episode 627,,0.0
episode_628,0.007000000104308128,
episode 628,,0.0
episode_629,0.007000000104308128,
episode 629,,0.0
episode_630,0.007000000104308128,
episode 630,,0.10000000149011612
episode_631,0.007000000104308128,
episode 631,,0.0
episode_632,0.007000000104308128,
episode 632,,0.0
episode_633,0.007000000104308128,
episode 633,,0.0
episode_634,0.00800000011920929,
episode 634,,0.10000000149011612
episode_635,0.00800000011920929,
episode 635,,0.0
episode_636,0.00800000011920929,
episode 636,,0.0
episode_637,0.00800000011920929,
episode 637,,0.0
episode_638,0.00800000011920929,
episode 638,,0.0
episode_639,0.00800000011920929,
episode 639,,0.0
episode_640,0.00800000011920929,
episode 640,,0.0
episode_641,0.00800000011920929,
episode 641,,0.0
episode_642,0.00800000011920929,
episode 642,,0.0
episode_643,0.00800000011920929,
episode 643,,0.0
episode_644,0.00800000011920929,
episode 644,,0.0
episode_645,0.00800000011920929,
episode 645,,0.0
episode_646,0.00800000011920929,
episode 646,,0.0
episode_647,0.00800000011920929,
episode 647,,0.0
episode_648,0.00800000011920929,
episode 648,,0.0
episode_649,0.00800000011920929,
episode 649,,0.0
episode_650,0.00800000011920929,
episode 650,,0.0
episode_651,0.00800000011920929,
episode 651,,0.0
episode_652,0.009000000134110451,
episode 652,,0.10000000149011612
episode_653,0.009000000134110451,
episode 653,,0.0
episode_654,0.00800000011920929,
episode 654,,0.0
episode_655,0.00800000011920929,
episode 655,,0.0
episode_656,0.00800000011920929,
episode 656,,0.0
episode_657,0.00800000011920929,
episode 657,,0.0
episode_658,0.00800000011920929,
episode 658,,0.0
episode_659,0.00800000011920929,
episode 659,,0.0
episode_660,0.00800000011920929,
episode 660,,0.0
episode_661,0.00800000011920929,
episode 661,,0.0
episode_662,0.00800000011920929,
episode 662,,0.0
episode_663,0.00800000011920929,
episode 663,,0.0
episode_664,0.007000000104308128,
episode 664,,0.0
episode_665,0.007000000104308128,
episode 665,,0.0
episode_666,0.007000000104308128,
episode 666,,0.0
episode_667,0.00800000011920929,
episode 667,,0.10000000149011612
episode_668,0.00800000011920929,
episode 668,,0.0
episode_669,0.00800000011920929,
episode 669,,0.0
episode_670,0.00800000011920929,
episode 670,,0.0
episode_671,0.00800000011920929,
episode 671,,0.0
episode_672,0.007000000104308128,
episode 672,,0.0
episode_673,0.007000000104308128,
episode 673,,0.0
episode_674,0.00800000011920929,
episode 674,,0.10000000149011612
episode_675,0.009000000134110451,
episode 675,,0.10000000149011612
episode_676,0.009000000134110451,
episode 676,,0.0
episode_677,0.010000000149011612,
episode 677,,0.10000000149011612
episode_678,0.010000000149011612,
episode 678,,0.0
episode_679,0.010000000149011612,
episode 679,,0.0
episode_680,0.010000000149011612,
episode 680,,0.0
episode_681,0.010000000149011612,
episode 681,,0.0
episode_682,0.011000000163912773,
episode 682,,0.10000000149011612
episode_683,0.010000000149011612,
episode 683,,0.0
episode_684,0.010000000149011612,
episode 684,,0.0
episode_685,0.010000000149011612,
episode 685,,0.0
episode_686,0.009000000134110451,
episode 686,,0.0
episode_687,0.009000000134110451,
episode 687,,0.0
episode_688,0.00800000011920929,
episode 688,,0.0
episode_689,0.00800000011920929,
episode 689,,0.0
episode_690,0.00800000011920929,
episode 690,,0.0
episode_691,0.00800000011920929,
episode 691,,0.0
episode_692,0.00800000011920929,
episode 692,,0.0
episode_693,0.009000000134110451,
episode 693,,0.10000000149011612
episode_694,0.009000000134110451,
episode 694,,0.0
episode_695,0.009000000134110451,
episode 695,,0.0
episode_696,0.009000000134110451,
episode 696,,0.0
episode_697,0.009000000134110451,
episode 697,,0.0
episode_698,0.009000000134110451,
episode 698,,0.0
episode_699,0.009000000134110451,
episode 699,,0.0
episode_700,0.009000000134110451,
episode 700,,0.0
episode_701,0.009000000134110451,
episode 701,,0.0
episode_702,0.009000000134110451,
episode 702,,0.0
episode_703,0.009000000134110451,
episode 703,,0.0
episode_704,0.009000000134110451,
episode 704,,0.0
episode_705,0.009000000134110451,
episode 705,,0.0
episode_706,0.009000000134110451,
episode 706,,0.0
episode_707,0.009000000134110451,
episode 707,,0.0
episode_708,0.009000000134110451,
episode 708,,0.0
episode_709,0.010000000149011612,
episode 709,,0.10000000149011612
episode_710,0.010000000149011612,
episode 710,,0.0
episode_711,0.010000000149011612,
episode 711,,0.0
episode_712,0.010000000149011612,
episode 712,,0.0
episode_713,0.010000000149011612,
episode 713,,0.0
episode_714,0.010000000149011612,
episode 714,,0.0
episode_715,0.010000000149011612,
episode 715,,0.0
episode_716,0.010000000149011612,
episode 716,,0.0
episode_717,0.010000000149011612,
episode 717,,0.0
episode_718,0.010000000149011612,
episode 718,,0.0
episode_719,0.010000000149011612,
episode 719,,0.0
episode_720,0.010000000149011612,
episode 720,,0.0
episode_721,0.010000000149011612,
episode 721,,0.0
episode_722,0.011000000163912773,
episode 722,,0.10000000149011612
episode_723,0.011000000163912773,
episode 723,,0.0
episode_724,0.011000000163912773,
episode 724,,0.0
episode_725,0.011000000163912773,
episode 725,,0.0
episode_726,0.011000000163912773,
episode 726,,0.0
episode_727,0.012000000178813934,
episode 727,,0.10000000149011612
episode_728,0.012000000178813934,
episode 728,,0.0
episode_729,0.013000000193715095,
episode 729,,0.10000000149011612
episode_730,0.013000000193715095,
episode 730,,0.10000000149011612
episode_731,0.013000000193715095,
episode 731,,0.0
episode_732,0.013000000193715095,
episode 732,,0.0
episode_733,0.013000000193715095,
episode 733,,0.0
episode_734,0.013000000193715095,
episode 734,,0.10000000149011612
episode_735,0.013000000193715095,
episode 735,,0.0
episode_736,0.013000000193715095,
episode 736,,0.0
episode_737,0.013000000193715095,
episode 737,,0.0
episode_738,0.013000000193715095,
episode 738,,0.0
episode_739,0.014000000208616257,
episode 739,,0.10000000149011612
episode_740,0.014000000208616257,
episode 740,,0.0
episode_741,0.014000000208616257,
episode 741,,0.0
episode_742,0.014000000208616257,
episode 742,,0.0
episode_743,0.014000000208616257,
episode 743,,0.0
episode_744,0.014000000208616257,
episode 744,,0.0
episode_745,0.014000000208616257,
episode 745,,0.0
episode_746,0.014000000208616257,
episode 746,,0.0
episode_747,0.014000000208616257,
episode 747,,0.0
episode_748,0.014000000208616257,
episode 748,,0.0
episode_749,0.014000000208616257,
episode 749,,0.0
episode_750,0.014000000208616257,
episode 750,,0.0
episode_751,0.014000000208616257,
episode 751,,0.0
episode_752,0.013000000193715095,
episode 752,,0.0
episode_753,0.013000000193715095,
episode 753,,0.0
episode_754,0.013000000193715095,
episode 754,,0.0
episode_755,0.013000000193715095,
episode 755,,0.0
episode_756,0.013000000193715095,
episode 756,,0.0
episode_757,0.013000000193715095,
episode 757,,0.0
episode_758,0.013000000193715095,
episode 758,,0.0
episode_759,0.013000000193715095,
episode 759,,0.0
episode_760,0.013000000193715095,
episode 760,,0.0
episode_761,0.013000000193715095,
episode 761,,0.0
episode_762,0.013000000193715095,
episode 762,,0.0
episode_763,0.013000000193715095,
episode 763,,0.0
episode_764,0.013000000193715095,
episode 764,,0.0
episode_765,0.013000000193715095,
episode 765,,0.0
episode_766,0.013000000193715095,
episode 766,,0.0
episode_767,0.012000000178813934,
episode 767,,0.0
episode_768,0.012000000178813934,
episode 768,,0.0
episode_769,0.012000000178813934,
episode 769,,0.0
episode_770,0.012000000178813934,
episode 770,,0.0
episode_771,0.013000000193715095,
episode 771,,0.10000000149011612
episode_772,0.013000000193715095,
episode 772,,0.0
episode_773,0.013000000193715095,
episode 773,,0.0
episode_774,0.012000000178813934,
episode 774,,0.0
episode_775,0.011000000163912773,
episode 775,,0.0
episode_776,0.011000000163912773,
episode 776,,0.0
episode_777,0.010000000149011612,
episode 777,,0.0
episode_778,0.010000000149011612,
episode 778,,0.0
episode_779,0.010000000149011612,
episode 779,,0.0
episode_780,0.010000000149011612,
episode 780,,0.0
episode_781,0.010000000149011612,
episode 781,,0.0
episode_782,0.009000000134110451,
episode 782,,0.0
episode_783,0.009000000134110451,
episode 783,,0.0
episode_784,0.009000000134110451,
episode 784,,0.0
episode_785,0.010000000149011612,
episode 785,,0.10000000149011612
episode_786,0.010000000149011612,
episode 786,,0.0
episode_787,0.010000000149011612,
episode 787,,0.0
episode_788,0.010000000149011612,
episode 788,,0.0
episode_789,0.010000000149011612,
episode 789,,0.0
episode_790,0.010000000149011612,
episode 790,,0.0
episode_791,0.010000000149011612,
episode 791,,0.0
episode_792,0.010000000149011612,
episode 792,,0.0
episode_793,0.009000000134110451,
episode 793,,0.0
episode_794,0.009000000134110451,
episode 794,,0.0
episode_795,0.009000000134110451,
episode 795,,0.0
episode_796,0.009000000134110451,
episode 796,,0.0
episode_797,0.009000000134110451,
episode 797,,0.0
episode_798,0.009000000134110451,
episode 798,,0.0
episode_799,0.009000000134110451,
episode 799,,0.0
episode_800,0.010000000149011612,
episode 800,,0.10000000149011612
episode_801,0.011000000163912773,
episode 801,,0.10000000149011612
episode_802,0.011000000163912773,
episode 802,,0.0
episode_803,0.011000000163912773,
episode 803,,0.0
episode_804,0.011000000163912773,
episode 804,,0.0
episode_805,0.011000000163912773,
episode 805,,0.0
episode_806,0.011000000163912773,
episode 806,,0.0
episode_807,0.011000000163912773,
episode 807,,0.0
episode_808,0.011000000163912773,
episode 808,,0.0
episode_809,0.010000000149011612,
episode 809,,0.0
episode_810,0.011000000163912773,
episode 810,,0.10000000149011612
episode_811,0.011000000163912773,
episode 811,,0.0
episode_812,0.011000000163912773,
episode 812,,0.0
episode_813,0.011000000163912773,
episode 813,,0.0
episode_814,0.011000000163912773,
episode 814,,0.0
episode_815,0.011000000163912773,
episode 815,,0.0
episode_816,0.011000000163912773,
episode 816,,0.0
episode_817,0.011000000163912773,
episode 817,,0.0
episode_818,0.011000000163912773,
episode 818,,0.0
episode_819,0.011000000163912773,
episode 819,,0.0
episode_820,0.011000000163912773,
episode 820,,0.0
episode_821,0.011000000163912773,
episode 821,,0.0
episode_822,0.010000000149011612,
episode 822,,0.0
episode_823,0.010000000149011612,
episode 823,,0.0
episode_824,0.010000000149011612,
episode 824,,0.0
episode_825,0.010000000149011612,
episode 825,,0.0
episode_826,0.010000000149011612,
episode 826,,0.0
episode_827,0.009000000134110451,
episode 827,,0.0
episode_828,0.009000000134110451,
episode 828,,0.0
episode_829,0.00800000011920929,
episode 829,,0.0
episode_830,0.007000000104308128,
episode 830,,0.0
episode_831,0.007000000104308128,
episode 831,,0.0
episode_832,0.007000000104308128,
episode 832,,0.0
episode_833,0.007000000104308128,
episode 833,,0.0
episode_834,0.006000000089406967,
episode 834,,0.0
episode_835,0.006000000089406967,
episode 835,,0.0
episode_836,0.006000000089406967,
episode 836,,0.0
episode_837,0.006000000089406967,
episode 837,,0.0
episode_838,0.006000000089406967,
episode 838,,0.0
episode_839,0.005000000074505806,
episode 839,,0.0
episode_840,0.005000000074505806,
episode 840,,0.0
episode_841,0.006000000089406967,
episode 841,,0.10000000149011612
episode_842,0.006000000089406967,
episode 842,,0.0
episode_843,0.006000000089406967,
episode 843,,0.0
episode_844,0.007000000104308128,
episode 844,,0.10000000149011612
episode_845,0.007000000104308128,
episode 845,,0.0
episode_846,0.007000000104308128,
episode 846,,0.0
episode_847,0.007000000104308128,
episode 847,,0.0
episode_848,0.00800000011920929,
episode 848,,0.10000000149011612
episode_849,0.00800000011920929,
episode 849,,0.0
episode_850,0.00800000011920929,
episode 850,,0.0
episode_851,0.00800000011920929,
episode 851,,0.0
episode_852,0.00800000011920929,
episode 852,,0.0
episode_853,0.00800000011920929,
episode 853,,0.0
episode_854,0.00800000011920929,
episode 854,,0.0
episode_855,0.00800000011920929,
episode 855,,0.0
episode_856,0.009000000134110451,
episode 856,,0.10000000149011612
episode_857,0.010000000149011612,
episode 857,,0.10000000149011612
episode_858,0.010000000149011612,
episode 858,,0.0
episode_859,0.010000000149011612,
episode 859,,0.0
episode_860,0.010000000149011612,
episode 860,,0.0
episode_861,0.010000000149011612,
episode 861,,0.0
episode_862,0.010000000149011612,
episode 862,,0.0
episode_863,0.010000000149011612,
episode 863,,0.0
episode_864,0.010000000149011612,
episode 864,,0.0
episode_865,0.010000000149011612,
episode 865,,0.0
episode_866,0.010000000149011612,
episode 866,,0.0
episode_867,0.010000000149011612,
episode 867,,0.0
episode_868,0.010000000149011612,
episode 868,,0.0
episode_869,0.010000000149011612,
episode 869,,0.0
episode_870,0.010000000149011612,
episode 870,,0.0
episode_871,0.009000000134110451,
episode 871,,0.0
episode_872,0.009000000134110451,
episode 872,,0.0
episode_873,0.009000000134110451,
episode 873,,0.0
episode_874,0.009000000134110451,
episode 874,,0.0
episode_875,0.009000000134110451,
episode 875,,0.0
episode_876,0.009000000134110451,
episode 876,,0.0
episode_877,0.009000000134110451,
episode 877,,0.0
episode_878,0.010000000149011612,
episode 878,,0.10000000149011612
episode_879,0.010000000149011612,
episode 879,,0.0
episode_880,0.010000000149011612,
episode 880,,0.0
episode_881,0.010000000149011612,
episode 881,,0.0
episode_882,0.010000000149011612,
episode 882,,0.0
episode_883,0.010000000149011612,
episode 883,,0.0
episode_884,0.010000000149011612,
episode 884,,0.0
episode_885,0.009000000134110451,
episode 885,,0.0
episode_886,0.009000000134110451,
episode 886,,0.0
episode_887,0.009000000134110451,
episode 887,,0.0
episode_888,0.009000000134110451,
episode 888,,0.0
episode_889,0.009000000134110451,
episode 889,,0.0
episode_890,0.009000000134110451,
episode 890,,0.0
episode_891,0.009000000134110451,
episode 891,,0.0
episode_892,0.009000000134110451,
episode 892,,0.0
episode_893,0.009000000134110451,
episode 893,,0.0
episode_894,0.009000000134110451,
episode 894,,0.0
episode_895,0.010000000149011612,
episode 895,,0.10000000149011612
episode_896,0.010000000149011612,
episode 896,,0.0
episode_897,0.010000000149011612,
episode 897,,0.0
episode_898,0.010000000149011612,
episode 898,,0.0
episode_899,0.010000000149011612,
episode 899,,0.0
